,Read Time(ms),Write Time(ms),NNF Time(ms),Axioms,Memory(MB)
timeindexedsituation.owlfs.owl,2.794630,0.379144,0.023223,51,1.1709439999999987
list.owlfs.owl,2.670195,0.272387,0.021138,63,1.2545439999999957
ogg-sc.owlfs.owl,5488.414045,279.467483,35.680129,101918,-412.67429599999997
txpo.owlfs.owl,4814.163993,285.795689,42.651072,81594,-136.88228
doid.owlfs.owl,8942.766624,470.127781,61.991484,147057,-406.624504
fbdv.owlfs.owl,330.117545,17.013996,2.514701,5326,21.516199999999998
ComputerSystem_ODP.owlfs.owl,2.280871,0.264124,0.017842,47,1.2439280000000004
ohmi.owlfs.owl,685.574666,32.394064,5.999641,10939,-354.592384
poro.owlfs.owl,233.366173,14.358115,2.481336,4200,-308.332456
ogsf-merged.owlfs.owl,197.736169,10.947854,1.767457,4430,8.905352
ma.owlfs.owl,833.929854,52.225260,8.499162,19591,-154.774488
spatiotemporalextent2.owlfs.owl,1.830233,0.290736,0.030725,23,0.5856640000000013
resourceabundanceobservation.owlfs.owl,2.319691,0.252784,0.046064,53,1.255040000000001
ComputationalEnvironment.owlfs.owl,1054.026799,5.511111,0.606819,2547,2.601656000000002
foodon.owlfs.owl,3013.300769,165.981457,34.024286,64817,-361.74404799999996
mmusdv.owlfs.owl,93.392771,5.522531,0.626171,1481,-349.111688
sio-release.owlfs.owl,515.742303,35.362962,6.573665,12624,-283.569824
speciesbathymetry.owlfs.owl,2.391377,0.314183,0.055788,38,0.5424000000000007
hao.owlfs.owl,1517.299346,89.546571,11.280793,25969,-198.335456
ogg-dm.owlfs.owl,23839.968970,1327.029362,193.561488,483176,-928.726112
ino_merged.owlfs.owl,178.280755,12.313841,1.271238,3767,27.790432000000003
parameter.owlfs.owl,2.251084,0.243057,0.015451,39,0.8169439999999994
xenopus_anatomy.owlfs.owl,1093.416073,63.506710,10.456051,19518,-160.110088
timeindexedparticipation.owlfs.owl,3.460493,0.417237,0.025045,60,1.0881360000000058
Policy_ODP.owlfs.owl,4.826277,0.390539,0.033899,114,2.5177039999999984
SBO_OWL.owlfs.owl,781.385253,11.159712,1.183214,2886,-369.48436000000004
trajectory.owlfs.owl,5.737247,0.491337,0.107718,99,2.517152000000003
ogms.owlfs.owl,29.574331,1.829342,0.201873,652,15.810567999999996
tads.owlfs.owl,415.936175,25.017714,2.869082,6896,-249.814392
ro.owlfs.owl,207.761701,15.311579,1.065174,4216,28.617024
so.owlfs.owl,1340.523239,72.525989,9.951065,23512,-215.41846400000003
specieseat.owlfs.owl,1.476437,0.324235,0.016559,27,0.6266560000000041
taskexecution.owlfs.owl,2.530365,0.250064,0.038863,49,1.2534000000000027
gfo-basic.owlfs.owl,22.583683,1.369086,0.310205,479,10.487800000000004
ico.owlfs.owl,484.388134,30.619480,4.738128,9434,-234.547328
cree.owlfs.owl,288.852736,17.521455,3.350393,6252,-301.91573600000004
to.owlfs.owl,1109.229393,54.711662,9.477874,21510,-294.457216
ocvdae-merged.owlfs.owl,2723.325965,157.495706,28.514525,56553,-256.44118399999996
fbbi.owlfs.owl,250.311454,16.181940,1.866844,5383,23.00348
dron-full.owlfs.owl,0.638279,0.160368,0.004494,2,0.0
participation.owlfs.owl,1.920077,0.212019,0.028840,32,0.8611039999999974
mro.owlfs.owl,834.483378,46.158653,11.458532,15156,-187.203256
human.owlfs.owl,1093.107702,72.224646,12.949956,30364,-222.88575199999997
ido.owlfs.owl,242.485436,15.325196,4.213916,4661,-331.5434
agentrole.owlfs.owl,1.538069,0.219618,0.026195,22,0.6261200000000002
affordance.owlfs.owl,2.542950,0.270868,0.043051,64,1.0017840000000007
mouse.owlfs.owl,397.076316,30.500305,6.735427,11043,-225.58667199999996
rxno.owlfs.owl,433.462375,25.723787,3.573271,6872,-243.590008
ddpheno.owlfs.owl,457.774389,28.783147,3.261003,8110,-245.34391200000002
enslavedv2.owlfs.owl,18.119883,1.315871,0.323491,383,9.55536
po.owlfs.owl,1834.942745,98.101003,9.704222,23713,-191.48892
uo.owlfs.owl,189.807635,10.114056,1.068437,3629,13.154848000000001
timeinterval.owlfs.owl,2.078229,0.234975,0.015647,35,0.9962719999999976
coparticipation.owlfs.owl,1.086997,0.163545,0.024816,18,0.49813600000000235
iasted.owlfs.owl,16.424418,1.390123,0.414652,544,10.4878
dideo.owlfs.owl,314.445538,18.200802,2.334670,5325,-312.99248800000004
gearwaterarea.owlfs.owl,1.869312,0.224314,0.008551,18,0.5017360000000011
zeco.owlfs.owl,25.282478,1.692185,0.252909,666,13.964727999999997
SmartHome_FeatureOfInterest.owlfs.owl,0.979080,0.174869,0.015477,13,0.0
CLO-NICR.owlfs.owl,7044.941396,464.694551,56.205255,151844,-313.33104
objectrole.owlfs.owl,2.076025,1.316093,0.016431,42,0.6705040000000011
ModifiedHazardousSituation.owlfs.owl,4.430681,0.407454,0.087980,89,2.099176
odae_merged.owlfs.owl,3929.861008,228.724789,47.957659,71595,-211.996872
